DATE,SP500,US2
2005-04-04,1158.0,94.8757813
2005-04-05,1163.5,94.8679688
2005-04-06,1167.5,94.9382813
2005-04-07,1173.5,94.9070313
2005-04-08,1161.75,94.8367188
2005-04-11,1162.0,94.8757813
2005-04-12,1168.25,94.9617188
2005-04-13,1154.25,95.0476563
2005-04-14,1138.75,95.1648438
2005-04-15,1121.75,95.2820313
2005-04-18,1125.0,95.2976563
2005-04-19,1134.0,95.3679688
2005-04-20,1118.0,95.3445313
2005-04-21,1139.75,95.1414063
2005-04-22,1135.5,95.1882813
2005-04-25,1142.25,95.1335938
2005-04-26,1132.0,95.1023438
2005-04-27,1135.5,95.1570313
2005-04-28,1121.25,95.2664063
2005-04-29,1136.75,95.1414063
2005-05-02,1141.75,95.1726563
2005-05-03,1144.25,95.1179688
2005-05-04,1153.5,95.2195313
2005-05-05,1153.25,95.3679688
2005-05-06,1149.5,95.0554688
2005-05-09,1156.5,95.0007813
2005-05-10,1144.5,95.1101563
2005-05-11,1150.75,95.1335938
2005-05-12,1137.5,95.1804688
2005-05-13,1135.0,95.2976563
2005-05-16,1145.25,95.3054688
2005-05-17,1153.5,95.3054688
2005-05-18,1165.0,95.3679688
2005-05-19,1169.5,95.2351563
2005-05-20,1168.5,95.1648438
2005-05-23,1174.5,95.2429688
2005-05-24,1172.0,95.3054688
2005-05-25,1170.75,95.3210938
2005-05-26,1176.25,95.2664063
2005-05-27,1178.5,95.2507813
2005-05-30,1180.0,
2005-05-31,1171.25,95.3367188
2005-06-01,1179.5,95.5789063
2005-06-02,1183.5,95.5320313
2005-06-03,1176.75,95.4148438
2005-06-06,1176.25,95.3835938
2005-06-07,1177.25,95.4382813
2005-06-08,1174.25,95.3523438
2005-06-09,1179.25,95.2898438
2005-06-10,1177.25,95.1570313
2005-06-13,1180.75,95.1570313
2005-06-14,1183.25,95.1648438
2005-06-15,1185.0,95.1492188
2005-06-16,1189.0,95.2195313
2005-06-17,1193.75,95.1960938
2005-06-20,1193.25,95.1726563
2005-06-21,1194.25,95.2117188
2005-06-22,1194.25,95.3992188
2005-06-23,1177.25,95.3835938
2005-06-24,1169.0,95.4851563
2005-06-27,1169.5,95.4851563
2005-06-28,1180.0,95.3679688
2005-06-29,1176.25,95.3210938
2005-06-30,1168.75,95.3210938
2005-07-01,1173.25,95.1492188
2005-07-04,1171.5,
2005-07-05,1182.25,95.0710938
2005-07-06,1171.5,95.0945313
2005-07-07,1176.0,95.2039063
2005-07-08,1189.75,95.0789063
2005-07-11,1196.75,95.0476563
2005-07-12,1198.75,95.0085938
2005-07-13,1201.25,94.9851563
2005-07-14,1205.0,94.9851563
2005-07-15,1204.5,94.9695313
2005-07-18,1199.75,94.9304688
2005-07-19,1206.5,94.9773438
2005-07-20,1209.75,94.9539063
2005-07-21,1203.25,94.8367188
2005-07-22,1210.25,94.8992188
2005-07-25,1207.25,94.8523438
2005-07-26,1208.25,94.8445313
2005-07-27,1213.0,94.7820313
2005-07-28,1220.25,94.8210938
2005-07-29,1210.0,94.7195313
2005-08-01,1210.75,94.6804688
2005-08-02,1218.25,94.6648438
2005-08-03,1221.0,94.7195313
2005-08-04,1211.25,94.7039063
2005-08-05,1203.0,94.5632813
2005-08-08,1200.5,94.5007813
2005-08-09,1207.5,94.5476563
2005-08-10,1207.0,94.5476563
2005-08-11,1211.75,94.6335938
2005-08-12,1204.25,94.7273438
2005-08-15,1210.75,94.6804688
2005-08-16,1194.75,94.7507813
2005-08-17,1194.75,94.6960938
2005-08-18,1194.25,94.7820313
2005-08-19,1197.0,94.7664063
2005-08-22,1197.25,94.7742188
